	tweets	isRoadIncident
0	on extradition warrant: Scotland Yard.	0.0
1	WB to NB/SB Route will be closed from : pm to : am	1.0
2	prices slashed	0.0
3	vanishing boatmakers	0.0
4	Cleared: Motor Vehicle Accident - NEW LONDON #I95 South . miles beyond Exit (HUNTINGTON ST) at // :: AM	1.0
5	"Vehicle Accident on Eastbound highway EB at Mile Marker .

Road cleared."	1.0
6	New Westminster - westbound Stewardson Way west of Ave collision in the right hand lane - CLEAR	1.0
7	Monty's seeing a dramatic drop in his food cost and wants to know why. ( Forums) 	0.0
8	In Sushil Modi lists property chain.	0.0
9	In Bengal	0.0
10	There is no barometer for patriotism	0.0
11	The timeline.	0.0
12	Following the Research Excellence Summit, THE has announced the new #APACrankings, powered by… 	0.0
13	I need to open my damn mind and find the time to have a firm belief in something.. I feel my energy growing #ieatchumpslikeyouforbreakfast	0.0
14	WY : Crash Westbound between the Idaho State line and Jackson at Milepost . has been cleared. #wyoroad	1.0
15	New: Unconfirmed crash in Orange on highway west at Exit 82A SR-, center lane blocked. Last updated at ::54PM....	1.0
16	Music legend will receive his diploma and medal in Stockholm in the next few days	0.0
17	Incident on #Q44SBSBus SB at Bronx Whitestone Bridge 	1.0
18	Hwy closed in both directions @ MM , miles east of Eustis, due to a jackknifed semi.	1.0
19	#FederalWay: HOV lane blocked on NB highway after S 320th St due to a collision. 	1.0
20	Cleared: Incident on #NJ29 NB from NJ to CR /Sullivan Way	1.0
21	"A few words used by leading legal minds to describe Judge Garland:
Phenomenal
Exceptionally bright
Fair-minded "	0.0
22	Make in built in Westward ho! for Calcutta estate. Read	0.0
23	Several roads over highway in the Davenport area will close over the next several weeks for bridge repairs. Details at 	1.0
24	" years ago today #MLK gave his historic ""I Have A Dream"" speech. #MarchOnWashington "	0.0
25	CEO today at 7	0.0
26	   Most recruits pick the program others think is the… 	0.0
27	My prayers goes out to one of the best to ever do it Craig Sager!! Please Stay Strong. #CancerSucks	0.0
28	North Vancouver - eastbound Hwy- Trans Canada Hwy before Mountain Hwy/Exit slow traffic	1.0
29	MCD polls: releases second list of 127 candidates	0.0
30	After attacks	0.0
31	 Thanks for dropping by, Michael! Come again soon.	0.0
32	PM and Australian PM at Temple	0.0
33	Ram Madhav tells	0.0
34	tougher road laws	0.0
35	Delta - northbound Hwy- between St and Hwy-17A/River Rd Exit slow traffic	1.0
36	Chain of wrong drugs. No senior doctor to check. Then death. All this at Delhi.	0.0
37	Subways to One World Trade Center - @ One World Trade Center 	0.0
38	TRAFFIC: Accident on highway West near mile marker . The right lane is blocked. Be prepared for possible delays #louisvilletraffic	1.0
39	We know our farmer partners are the key to high quality, sustainable products. THANK YOU! 	0.0
40	Cleared: Disabled vehicle in Miami-Dade on SR- south before NW St/Miami Lakes Dr, left lane blocked. Last updated at ::49PM.	1.0
41	dismissed from service after inquiry.	0.0
42	#LasVegas, #DrPhil may be a rerun, but we are dropping something new during the show! #TVSpot 	0.0
43	WY390 WY - Teton Village: Open to all traffic BOTH DIR. -FEB : #wyoroad	1.0
44	Did just bring into the sharing issue?	0.0
45	Govt cuts rates on schemes marginally.	0.0
46	Disabled Vehicle: WB on highway at highway Tunnel-HRBT W in Norfolk. All travel lanes closed. Delay mi.:08PM	1.0
47	the case for and electoral reforms.	0.0
48	Are you watching today's game at work? Skipping work? What's your plan for the big game?? 	0.0
49	Updated: Crash in Duval on highway north before University, left lane blocked. Content provided by Waze. Last...	1.0
50	Road construction, right lane closed in #Woodlawn on Security Blvd Both EB/WB between I and I , delay of min #traffic	1.0
51	EB/WB to NB/SB Connector will be closed from : pm to : am	1.0
52	Justice faces Supreme Court	0.0
53	quiz for industry	0.0
54	MVA UNK INJ at INTERSTATE @ NB BRISTOL. Please use caution in the area. August , at :52AM	0.0
55	Corrected. Thanks.	0.0
56	but court orders further probe into corruption charge.	0.0
57	works on options to get backing on	0.0
58	Fear and outrage among students from in Delhi	0.0
59	5640 is less than 155 in world	0.0
60	Appalachian Power Seeks Solar Energy Proposals in Virginia. 	0.0
61	 it's a short one but it captures the point, i had more ideas but i didn't want to make myself cry bdvdv	0.0
62	Roadwork on highway northbound at Mile Post: .. There is a shoulder closed.	1.0
63	Why we're working w/  to advance sustainable agriculture 	0.0
64	Cleared: Planned construction in Sumter on highway north at Exit SR-, right lanes blocked. Last updated at ::29PM.	1.0
65	Incident cleared: Carling at Maitland	1.0
66	Accident in #PlantCity on highway WB at SR- #traffic 	1.0
67	 Hi Amanda. To learn how to add someone as an admin please visit our Help Center here: -MG	0.0
68	panic and deaths. At India's top hospital.	0.0
69	how not to bore your friends).	0.0
70	For first time in 3 decades	0.0
71	The left lane is blocked on highway West at US 90B due to a disabled vehicle. Congestion from this incident is minimal.	1.0
72	Update: Accident: SB on highway (James Madison Pkwy) in King George Co. NB travel lanes closed.:54PM	1.0
73	SEMI BLOCKING ROAD on highway - ASHLAND-LAME DEER DIVIDE WEST OF ASHLAND ACTUAL MILE POST IS . at milepost ... 	1.0
74	Cleared: Traffic congestion in Alachua on highway south from before SR- to at Exit SR-. Last updated at ::48AM.	1.0
75	Car sales recover from in all regions -- barring east and	0.0
76	 Hi Luke. Please reach out to our support team at 	0.0
77	Updated: Construction on #RFKTriboroughBridge NB at Manhattan Span 	1.0
78	To stress dress code	0.0
79	Arrest of a conman and bribe charges against nephew churns politics.	0.0
80	Getting used to the fly overs at the practice fields! Championship game Friday 🇺🇸vs. 🇨🇦 he… 	0.0
81	Turnpike Traffic Alert on Pennsylvania Turnpike highway northbound between Exit - highway/highway and Exit - highway affecting any of l	1.0
82	Govt to go after militants with 'utmost harshness'	0.0
83	A tale of to prime ministers	0.0
84	One of the many beautiful views from #OneWTC Repost from #nyc #skyline #nycreal… 	0.0
85	News worth sharing… U.S. foreign aid to fight malaria has saved the lives of almost two million children in Africa. 	0.0
86	Cleared: Construction on #NJ29 NB at South of Lalor St	1.0
87	"UPDATE: Crash on highway
Location: NB highway at Warren Ave
Lanes Affected: Left Shoulder, Left Lane, Right Shoulder, Exit Ramp"	1.0
88	"Recruiting coordinator has a powerful message for high school athletes who consider transferring.

🗣:… "	0.0
89	Authentic homework in 3rd grade Great follow up to our Tree Talk and Leading with Joy. 	0.0
90	is effective and his figures show that.	0.0
91	pharma companies are opposing names on	0.0
92	Sena's apologises in Parliament	0.0
93	India's Supreme Court shuts highway booze hatch.	0.0
94	breather for highway booze	0.0
95	New: Crash in Broward on highway west at Exit 136th Ave, right lanes blocked. Last updated at ::52PM. #fl511 	1.0
96	Biosecurity education and compliance are critical in preventing avian influenza outbreaks 	0.0
97	scraps pension yojana. Cycle tracks may also be broken	0.0
98	President clears for pieces of supporting legislation related to	0.0
99	Cleared: Incident on #ELine Queens bound at Jamaica Center-Parsons/Archer Station	1.0
100	I’ve been preparing for this moment my entire life: #TBT 	0.0
101	On SR southbound at Soundview Ln (MP ) there is a collision blocking the right lane. The State Patrol has arrived on the scene.	1.0
102	How lawmaker ticked 3 boxes: supremacist	0.0
103	Update: Closed: Other Weather: EB on highway at MM39 in Isle Of Wight Co. All EB &amp; all WB travel lanes closed. Potential Delays.:00AM	1.0
104	clue	0.0
105	Agreement on the #IranDeal was reached year ago today. Commitment to diplomacy made the world safer. 	0.0
106	WORK ZONE WITH SINGLE LANE TRAFFIC on highway - highway EASTBOUND, MP , MILES WEST OF BONNER INTERCHANGE at mi ... 	1.0
107	CLEARED: Disabled vehicle on PA northbound between Highland Ave and Susquehanna Rd.	1.0
108	Guwahati.	0.0
109	New: Crash in Miami-Dade on Floridas Turnpike south ramp to Exit SW St, off-ramp closed. Last updated at...	1.0
110	Helped nearby drivers by reporting a heavy traffic jam on Honeygo Blvd, White Marsh on - Drive Social. 	0.0
111	From May 1	0.0
112	Tolls to be suspended on highway express lanes south of Atlanta | MORE &gt;&gt; 	1.0
113	Haryana peasants demand justice for right to cattle trade.	0.0
114	Tonight: Kaley Cuoco, music from and new Audience Suggestion Box! #FallonTonight	0.0
115	can't defend its digital assets from	0.0
116	In 7Days: cricket's commoner prince	0.0
117	TRAVEL ADVISORY Downtown: injury crash STILL clearing highway//nb south of P'tree/Pine (exit 249D). Jammed before highway. #ATLtraffic	1.0
118	#Turnpike: About miles of NB delays from highway (MM ) in Kissimmee through Osceola Pkwy (MM ) #Orlando #traffic	1.0
119	Cleared: Incident on #Q102Bus at Queens Plaza North and Street	1.0
120	*-NEW-* HWY Northbound [ DEVON TWP ROAD (W) - ] - Other ...::	0.0
121	Roadwork on highway westbound at Exit - highway/Clinton. There is a traffic disruption.	1.0
122	Modi had tested waters with letter to on	0.0
123	Just south of S. 200th on NB highway there's a disabled vehicle in the backup from the crash at S. 188th. 	1.0
124	#DUBLIN #M50 Breakdown northbound between J9 Red Cow and J7 Lucan, in the right lane. Caution needed. 	1.0
125	Quick Quiz. Whose kitchen was donated to the Smithsonian's National Museum of American History in Washington DC? 	0.0
126	Having lost Kerala bypoll	0.0
127	Accident southbound Roosevelt Blvd at Summerdale Avenue. Philadelphia police on the scene. Use caution.	1.0
128	Not a single idea from Opposition on clean says	0.0
129	Accident: NB on highway at MM177 in Fairfax Co. Entr ramp closed. Potential Delays.:24PM	1.0
130	and sing the song of the sullied.	0.0
131	Update: Incident on #7Line BothDir at 42nd Street-Grand Central Station 	1.0
132	Logan County: I35 NB JN Seward is a non-injury accident with the right lane blocked...teg	1.0
133	"Disabled Vehicle on Westbound highway WB at Emily Drive.

Use caution when traveling through this area."	1.0
134	: AM, Crash on NB Rainbow at Russell in LAs Vegas. NB lane OPEN. Expect delays	1.0
135	CLEARED: Turnpike Roadwork on Pennsylvania Turnpike highway southbound between Exit - PA and Exit - PA affecting the right lane	1.0
136	Bengal looks at ways to change classification of to bypass order.	0.0
137	MED - MEDICAL at SW 2ND AVE / SW ASH ST, PORTLAND, OR [Portland Fire #RP17000066442] : #pdx911	0.0
138	Generation to generation	0.0
139	3 shot dead in as protestors try to rescue	0.0
140	For the schools who can accomodate their base attending base, it's the non-base that lands them on the list of that can't meet mandate	0.0
141	#MedHacks2017 Project finalist, group four: Active Bed Sore Prevention, using a bed monitor/alleviator 	0.0
142	Man shouts at wife in family court. And walks out.	0.0
143	 It's not too late to reserve. Click here to start your reservation&gt;&gt; 	0.0
144	readies stage for 2019.	0.0
145	When protestors in began trying to rescue trapped	0.0
146	"Police incident
NB highway W at MP / S, Wesrt Valley City SL Co
Right Lane Of Right Split Closed
Est. Clearance Time: : AM"	1.0
147	Liquor baron declared a proclaimed offender	0.0
148	Cleared: Closure on #NY390 NB at Exit - Lyell Avenue; NY 	1.0
149	Updated: Crash in Hillsborough on highway north before MM , left lane blocked. Content provided by Waze. Last...	1.0
150	Broken down Vehicle on University Ave at the Allen Blvd intersection causing big delays in all directions.	1.0
151	Preventing mold is key to proper #RV storage! #SelfStorage tips here: 	0.0
152	People of all ages, sizes and abilities can benefit from being physically active. Find an activity you enjoy &amp; star… 	0.0
153	Preliminary enquiry by against Health Minister for alleged money laundering.	0.0
154	High Court orders govt to waive of all drought-hit farmers.	0.0
155	Lane Closure -: Title: Interstate eastbound and westbound from mile marker to mile marker 326Descriptio... 	1.0
156	told by GST.	0.0
157	"Head over to our #Instagram to catch the live feed!!

 

#breakermade "	0.0
158	#TrafficAlert: Avoid intersection of Ventura Road and Doris Avenue in Oxnard; traffic signals are not working 	1.0
159	The are looking to capture NPL national title. Our preview: 	0.0
160	niggas out here gettin blessed wit tight ass video games bitch can y'all make something for girls 😂😂😂 i b bored bit… 	0.0
161	670000 bikes	0.0
162	Cleared: Incident on #7Line WB at Mets-Willets Point Station	1.0
163	Updated: Construction on #ALine Queens bound from 125th Street Station to Canal Street Station 	1.0
164	Updated: Crash in Miami-Dade on highway north ramp to Exit 12A SR- West, off-ramp right lane blocked. Last...	1.0
165	US212: Closed BOTH DIR due to winter conditions btwn the MT State Line and Mile Marker ., WB Closure Gate and btwn WY and Beartooth...	1.0
166	The worst thing about college is when you start craving Otters Chicken	0.0
167	COMPLETE highway MM . SB at Keystone/mile Ramp slow &lt;= mins due to a crash	1.0
168	CLEARED: Turnpike Roadwork on Pennsylvania Turnpike highway northbound between Exit - highway/highway and Exit - highway affecting the shoulde	1.0
169	Multi vehicle crash on highway southbound at Mile Post: ..	1.0
170	Chefs Tell Cautionary Tales of Doing What They Love 	0.0
171	Updated: Incident on #LLine Both directions from 6th Avenue-Ave Of The Americas Station to 14th Street-Union...	1.0
172	"Hey 
Roadway truck ID # driving w/out plates, unsafe lane change, speeding in construction z… "	0.0
173	Daddy dearest	0.0
